Data,Truck,CuT [%],Load,Speed (km/hr),Fuel Rate (l/h),Engine Hours,Operative Factor,Engine Speed (RPM),% Acel Pedal,Brakehorsepower
1,CAEX 714DI06,0,EMPTY,20.5956,9.88,23296.2852,0,750,0,10.5
2,CAEX 720DI116,0.8177,SULPHUR,17.3704,9.23,23296.2852,0,748,0,10.5
3,CAEX 717AB06,0,EMPTY,19.1312,9.94,23296.2852,0,748,0,21
4,CAEX 715ABC26,0.9787,SULPHUR,17.6432,9.34,23296.2852,0,749,0,31.75
5,CAEX 714DC16,0.97,SULPHUR,17.2216,9.17,23296.2852,0,748,0,31.75
6,CAEX 710C106,0,EMPTY,21.4692,10.16,23296.2871,0.0019,750,0,42.5
7,CAEX 719DCI106,0,EMPTY,22.1556,10.38,23296.2871,0.0019,752,0,32
8,CAEX 723DC106,0,EMPTY,18.2632,9.59,23296.2871,0.0019,748,0,21
9,CAEX 714DI07,0,EMPTY,20.0984,10.33,23296.2871,0.0019,746,0,31.75
10,CAEX 720DI117,0.8624,SULPHUR,17.544,9.3,23296.2871,0.0019,747,0,42.25
11,CAEX 717AB07,0.8981,SULPHUR,16.8204,8.67,23296.2871,0.0019,768,0,43.5
12,CAEX 715ABC27,0.9297,SULPHUR,16.6644,8.62,23296.2871,0.0019,754,0,0
13,CAEX 714DC17,0.8093,SULPHUR,17.4944,9.28,23296.2891,0.0039,749,0,0
14,CAEX 710C107,0,EMPTY,19.4784,10.08,23296.2891,0.0039,736,0,0
15,CAEX 719DCI107,0,EMPTY,23.4036,10.78,23296.2949,0.0097,840,0,0
16,CAEX 723DC107,0.9306,SULPHUR,16.29,8.5,23296.2969,0.0117,1222,0,260.25
17,CAEX 714DI08,0.9696,SULPHUR,9.27,6.25,23296.3809,0.0957,938,0,0
18,CAEX 720DI118,0.8624,SULPHUR,14.106,7.8,23296.3828,0.0976,1129,0,96
19,CAEX 717AB08,0.9111,SULPHUR,12.1404,7.17,23296.3828,0.0976,996,0,0
20,CAEX 715ABC28,0.9578,SULPHUR,13.95,7.75,23296.3828,0.0976,878,0,0
21,CAEX 714DC18,0,EMPTY,19.4724,9.52,23296.3828,0.0976,771,0,0
22,CAEX 710C108,0,EMPTY,19.0568,9.91,23296.3848,0.0996,712,0,0
23,CAEX 719DCI108,0.9843,SULPHUR,17.8168,9.41,23296.3848,0.0996,732,0,31
24,CAEX 723DC108,0,EMPTY,19.156,9.95,23296.3848,0.0996,742,0,21
25,CAEX 714DI09,0.9306,SULPHUR,14.6672,8.14,23296.3848,0.0996,749,0,21.25
26,CAEX 720DI119,0.8878,SULPHUR,17.42,9.25,23296.3848,0.0996,738,0,20.75
27,CAEX 717AB09,0.8701,SULPHUR,16.5396,8.58,23296.3848,0.0996,766,0,43.5
28,CAEX 715ABC29,0.92,SULPHUR,16.446,8.55,23296.3848,0.0996,751,0,0
29,CAEX 714DC19,0,EMPTY,19.5972,9.56,23296.3867,0.1015,752,0,21.25
30,CAEX 710C109,0,EMPTY,18.474,9.2,23296.3867,0.1015,750,0,21.25
31,CAEX 719DCI109,0,EMPTY,18.3872,9.64,23296.3867,0.1015,747,0,10.5
32,CAEX 723DC109,0,EMPTY,18.6924,9.27,23296.3867,0.1015,750,0,42.5
33,CAEX 714DI10,0,EMPTY,18.4368,9.66,23296.3867,0.1015,747,0,21
34,CAEX 720DI120,0.9582,SULPHUR,17.2572,8.81,23296.3867,0.1015,756,0,32
35,CAEX 717AB10,0.869,SULPHUR,16.914,8.7,23296.3867,0.1015,750,0,10.5
36,CAEX 715ABC30,0.8302,SULPHUR,17.1324,8.77,23296.3887,0.1035,752,0,21.25
37,CAEX 714DC20,0,EMPTY,19.2056,9.97,23296.3887,0.1035,746,0,10.5
38,CAEX 710C110,0,EMPTY,19.28,10,23296.3887,0.1035,734,0,20.75
39,CAEX 719DCI110,0,EMPTY,18.1308,9.09,23296.3887,0.1035,758,0,64.5
40,CAEX 723DC110,0,EMPTY,18.3804,9.17,23296.3887,0.1035,752,0,0
41,CAEX 714DI11,0.8749,SULPHUR,16.6644,8.62,23296.3887,0.1035,756,0,10.5
42,CAEX 720DI121,0.9983,SULPHUR,16.3288,8.81,23296.3887,0.1035,749,0,0
43,CAEX 717AB11,0.804,SULPHUR,17.0728,9.11,23296.3906,0.1054,746,0,10.5
44,CAEX 715ABC31,0.9303,SULPHUR,15.4856,8.47,23296.3906,0.1054,744,0,21
45,CAEX 714DC21,0,EMPTY,19.8468,9.64,23296.3906,0.1054,751,0,31.75
46,CAEX 710C111,0.8468,SULPHUR,17.0976,9.12,23296.3906,0.1054,748,0,21.25
47,CAEX 719DCI111,0.8805,SULPHUR,17.1636,8.78,23296.3906,0.1054,755,0,32
48,CAEX 723DC111,0.9347,SULPHUR,16.7504,8.98,23296.3906,0.1054,747,0,0
49,CAEX 714DI12,0,EMPTY,18.1144,9.53,23296.3906,0.1054,748,0,31.75
50,CAEX 720DI122,0,EMPTY,19.1312,9.94,23296.3926,0.1074,744,0,31.5
51,CAEX 717AB12,0,EMPTY,19.0668,9.39,23296.3926,0.1074,755,0,42.75
52,CAEX 715ABC32,0.8581,SULPHUR,17.6004,8.92,23296.3926,0.1074,754,0,10.5
53,CAEX 714DC22,0.9937,SULPHUR,17.3456,9.22,23296.3926,0.1074,745,0,10.5
54,CAEX 710C112,0.8234,SULPHUR,17.4132,8.86,23296.3926,0.1074,753,0,21.25
55,CAEX 719DCI112,0,EMPTY,21.0324,10.02,23296.3926,0.1074,752,0,10.5
56,CAEX 723DC112,0,EMPTY,18.1144,9.53,23296.3926,0.1074,747,0,10.5
57,CAEX 714DI13,0,EMPTY,19.7532,9.61,23296.3945,0.1093,751,0,32
58,CAEX 720DI123,0.8875,SULPHUR,17.5688,9.31,23296.3945,0.1093,748,0,10.5
59,CAEX 717AB13,0,EMPTY,21.9996,10.33,23296.3945,0.1093,752,0,32
60,CAEX 715ABC33,0.8145,SULPHUR,17.07,8.75,23296.3945,0.1093,751,0,10.5
61,CAEX 714DC23,0.9642,SULPHUR,15.7584,8.58,23296.3945,0.1093,748,0,10.5
62,CAEX 710C113,0.8069,SULPHUR,17.5068,8.89,23296.3945,0.1093,762,0,21.5
63,CAEX 719DCI113,0,EMPTY,21.3132,10.11,23296.3945,0.1093,753,0,10.5
64,CAEX 723DC113,0.9982,SULPHUR,17.4696,9.27,23296.3965,0.1113,748,0,10.5
65,CAEX 714DI14,0.9552,SULPHUR,16.18,8.75,23296.3965,0.1113,748,0,10.5
66,CAEX 720DI124,0,EMPTY,21.2196,10.08,23296.3965,0.1113,752,0,32
67,CAEX 717AB14,0,EMPTY,18.8088,9.81,23296.3965,0.1113,748,0,10.5
68,CAEX 715ABC34,0,EMPTY,19.3164,9.47,23296.3965,0.1113,751,0,21.25
69,CAEX 714DC24,0.988,SULPHUR,15.2128,8.36,23296.3965,0.1113,747,0,21
70,CAEX 710C114,0,EMPTY,18.3872,9.64,23296.3965,0.1113,747,0,31.75
71,CAEX 719DCI114,0,EMPTY,21.0636,10.03,23296.3984,0.1132,751,0,31.75
72,CAEX 723DC114,0.8867,SULPHUR,15.9568,8.66,23296.3984,0.1132,749,0,21.25
73,CAEX 714DI15,0.8248,SULPHUR,15.436,8.45,23296.3984,0.1132,748,0,21
74,CAEX 720DI125,0.9737,SULPHUR,17.4756,8.88,23296.3984,0.1132,762,0,21.5
75,CAEX 717AB15,0.8873,SULPHUR,17.3704,9.23,23296.3984,0.1132,746,0,0
76,CAEX 715ABC35,0.8274,SULPHUR,15.666,8.3,23296.3984,0.1132,755,0,21.25
77,CAEX 714DC25,0.8912,SULPHUR,16.8496,9.02,23296.3984,0.1132,746,0,10.5
78,CAEX 710C115,0,EMPTY,22.1556,10.38,23296.4004,0.1152,750,0,21.25
79,CAEX 719DCI115,0.9081,SULPHUR,15.2128,8.36,23296.4004,0.1152,748,0,21.25
80,CAEX 723DC115,0,EMPTY,18.9108,9.34,23296.4004,0.1152,750,0,21.25
81,CAEX 714DI16,0.976,SULPHUR,15.4856,8.47,23296.4004,0.1152,749,0,31.75
82,CAEX 720DI126,0.9148,SULPHUR,17.916,9.45,23296.4004,0.1152,748,0,21
83,CAEX 717AB16,0.9388,SULPHUR,17.7672,9.39,23296.4004,0.1152,744,0,21
84,CAEX 715ABC36,0.8232,SULPHUR,17.3456,9.22,23296.4004,0.1152,748,0,31.75
85,CAEX 714DC26,0,EMPTY,19.0568,9.91,23296.4023,0.1171,735,0,10.25
86,CAEX 710C116,0.9083,SULPHUR,17.7876,8.98,23296.4023,0.1171,768,0,65.25
87,CAEX 719DCI116,0,EMPTY,18.1308,9.09,23296.4023,0.1171,751,0,0
88,CAEX 723DC116,0.9596,SULPHUR,15.7584,8.58,23296.4023,0.1171,748,0,10.5
89,CAEX 714DI17,0.9297,SULPHUR,17.9124,9.02,23296.4023,0.1171,750,0,21.25
90,CAEX 720DI127,0,EMPTY,21.2508,10.09,23296.4023,0.1171,753,0,21.25
91,CAEX 717AB17,0,EMPTY,19.5972,9.56,23296.4023,0.1171,751,0,0
92,CAEX 715ABC37,0,EMPTY,20.0964,9.72,23296.4043,0.1191,750,0,10.5
93,CAEX 714DC27,0,EMPTY,18.006,9.05,23296.4043,0.1191,750,0,21.25
94,CAEX 710C117,0,EMPTY,19.7016,10.17,23296.4043,0.1191,747,0,21
95,CAEX 719DCI117,0.906,SULPHUR,15.5724,8.27,23296.4043,0.1191,751,0,21.25
96,CAEX 723DC117,0.8281,SULPHUR,16.7504,8.98,23296.4043,0.1191,748,0,10.5
97,CAEX 714DI18,0,EMPTY,20.3216,10.42,23296.4043,0.1191,732,0,20.75
98,CAEX 720DI128,0.9741,SULPHUR,17.3196,8.83,23296.4043,0.1191,767,0,76.25
99,CAEX 717AB18,0.8288,SULPHUR,17.6432,9.34,23296.4062,0.121,748,0,0
100,CAEX 715ABC38,0,EMPTY,21.016,10.7,23296.4062,0.121,749,0,21.25
101,CAEX 714DC28,0.9129,SULPHUR,16.3784,8.83,23296.4062,0.121,747,0,21
102,CAEX 710C118,0,EMPTY,19.5972,9.56,23296.4062,0.121,752,0,32
103,CAEX 719DCI118,0.9517,SULPHUR,15.7832,8.59,23296.4062,0.121,746,0,21
104,CAEX 723DC118,0.9122,SULPHUR,17.42,9.25,23296.4062,0.121,749,0,21.25
105,CAEX 714DI19,0.8433,SULPHUR,17.7564,8.97,23296.4062,0.121,750,0,21.25
106,CAEX 720DI129,0.8365,SULPHUR,16.8828,8.69,23296.4062,0.121,750,0,21.25
107,CAEX 717AB19,0,EMPTY,19.0668,9.39,23296.4082,0.123,751,0,10.5
108,CAEX 715ABC39,0.8798,SULPHUR,17.85,9,23296.4082,0.123,750,0,21.25
109,CAEX 714DC29,0,EMPTY,20.52,10.5,23296.4082,0.123,728,0,10.25
110,CAEX 710C119,0.8921,SULPHUR,13.95,7.75,23296.4082,0.123,767,0,98
111,CAEX 719DCI119,0,EMPTY,18.6104,9.73,23296.4082,0.123,747,0,0
112,CAEX 723DC119,0,EMPTY,18.0372,9.06,23296.4082,0.123,756,0,21.25
113,CAEX 714DI20,0.8864,SULPHUR,17.6432,9.34,23296.4082,0.123,746,0,0
114,CAEX 720DI130,0.8873,SULPHUR,17.9656,9.47,23296.4102,0.125,749,0,21.25
115,CAEX 717AB20,0.8512,SULPHUR,17.6184,9.33,23296.4102,0.125,744,0,10.5
116,CAEX 715ABC40,0.9052,SULPHUR,17.7564,8.97,23296.4102,0.125,752,0,42.75
117,CAEX 714DC30,0,EMPTY,19.4724,9.52,23296.4102,0.125,754,0,21.25
118,CAEX 710C120,0.9036,SULPHUR,17.544,9.3,23296.4102,0.125,748,0,10.5
119,CAEX 719DCI120,0,EMPTY,18.2244,9.12,23296.4102,0.125,753,0,21.25
120,CAEX 723DC120,0.9068,SULPHUR,17.5068,8.89,23296.4102,0.125,750,0,10.5
121,CAEX 714DI21,0.8137,SULPHUR,17.9656,9.47,23296.4121,0.1269,736,0,20.75
122,CAEX 720DI131,0.9289,SULPHUR,17.7564,8.97,23296.4121,0.1269,760,0,64.75
123,CAEX 717AB21,0,EMPTY,18.0896,9.52,23296.4121,0.1269,749,0,0
124,CAEX 715ABC41,0.8521,SULPHUR,16.4032,8.84,23296.4121,0.1269,749,0,21.25
125,CAEX 714DC31,0,EMPTY,21.0636,10.03,23296.4121,0.1269,754,0,21.25
126,CAEX 710C121,0.9873,SULPHUR,17.5692,8.91,23296.4121,0.1269,752,0,10.5
127,CAEX 719DCI121,0.8029,SULPHUR,14.106,7.8,23296.4121,0.1269,750,0,0
128,CAEX 723DC121,0.8959,SULPHUR,17.3704,9.23,23296.4141,0.1289,747,0,10.5
129,CAEX 714DI22,0.9116,SULPHUR,17.7672,9.39,23296.4141,0.1289,749,0,21.25
130,CAEX 720DI132,0.9442,SULPHUR,16.9764,8.72,23296.4141,0.1289,758,0,21.5
131,CAEX 717AB22,0.8989,SULPHUR,15.064,8.3,23296.4141,0.1289,742,0,0
132,CAEX 715ABC42,0.8585,SULPHUR,16.8744,9.03,23296.4141,0.1289,749,0,31.75
133,CAEX 714DC32,0,EMPTY,19.4288,10.06,23296.4141,0.1289,737,0,20.75
134,CAEX 710C122,0.9159,SULPHUR,16.1964,8.47,23296.4141,0.1289,759,0,64.5
135,CAEX 719DCI122,0,EMPTY,19.0668,9.39,23296.416,0.1308,751,0,0
136,CAEX 723DC122,0.8305,SULPHUR,17.1968,9.16,23296.416,0.1308,746,0,10.5
137,CAEX 714DI23,0,EMPTY,18.9732,9.36,23296.416,0.1308,750,0,31.75
138,CAEX 720DI133,0,EMPTY,18.2244,9.12,23296.416,0.1308,750,0,21.25
139,CAEX 717AB23,0.9949,SULPHUR,15.8532,8.36,23296.416,0.1308,752,0,10.5
140,CAEX 715ABC43,0,EMPTY,18.1888,9.56,23296.416,0.1308,748,0,10.5
141,CAEX 714DC33,0,EMPTY,19.7532,9.61,23296.416,0.1308,750,0,10.5
142,CAEX 710C123,0,EMPTY,20.2472,10.39,23296.418,0.1328,748,0,21
143,CAEX 719DCI123,0,EMPTY,19.5036,9.53,23296.418,0.1328,752,0,21.25
144,CAEX 723DC123,0.9913,SULPHUR,15.354,8.2,23296.418,0.1328,752,0,10.5
145,CAEX 714DI24,0,EMPTY,19.7532,9.61,23296.418,0.1328,752,0,0
146,CAEX 720DI134,0,EMPTY,18.63,9.25,23296.418,0.1328,751,0,32
147,CAEX 717AB24,0.9908,SULPHUR,17.3196,8.83,23296.418,0.1328,750,0,10.5
148,CAEX 715ABC44,0,EMPTY,18.3376,9.62,23296.418,0.1328,748,0,21
149,CAEX 714DC34,0.8655,SULPHUR,17.42,9.25,23296.4199,0.1347,746,0,21
150,CAEX 710C124,0.9616,SULPHUR,17.4132,8.86,23296.4199,0.1347,755,0,32
151,CAEX 719DCI124,0,EMPTY,18.2632,9.59,23296.4199,0.1347,746,0,0
152,CAEX 723DC124,0,EMPTY,18.1308,9.09,23296.4199,0.1347,752,0,32
153,CAEX 714DI25,0,EMPTY,19.7844,9.62,23296.4199,0.1347,751,0,10.5
154,CAEX 720DI135,0.8419,SULPHUR,17.4756,8.88,23296.4199,0.1347,752,0,21.25
155,CAEX 717AB25,0.9147,SULPHUR,14.8656,8.22,23296.4199,0.1347,748,0,10.5
156,CAEX 715ABC45,0,EMPTY,19.6768,10.16,23296.4219,0.1367,731,0,20.75
157,CAEX 714DC35,0.9054,SULPHUR,15.4476,8.23,23296.4219,0.1367,774,0,76.75
158,CAEX 710C125,0.836,SULPHUR,16.1056,8.72,23296.4219,0.1367,748,0,0
159,CAEX 719DCI125,0.9692,SULPHUR,15.0144,8.28,23296.4219,0.1367,746,0,10.5
160,CAEX 723DC125,0.9534,SULPHUR,17.7672,9.39,23296.4219,0.1367,748,0,21
161,CAEX 714DI26,0.8281,SULPHUR,16.5396,8.58,23296.4219,0.1367,756,0,21.25
162,CAEX 720DI136,0.8016,SULPHUR,15.7088,8.56,23296.4219,0.1367,749,0,0
163,CAEX 717AB26,0.8086,SULPHUR,17.2712,9.19,23296.4238,0.1386,742,0,10.5
164,CAEX 715ABC46,0,EMPTY,18.63,9.25,23296.4238,0.1386,753,0,42.75
165,CAEX 714DC36,0,EMPTY,19.3164,9.47,23296.4238,0.1386,750,0,10.5
166,CAEX 710C126,0.9792,SULPHUR,17.916,9.45,23296.4238,0.1386,746,0,10.5
167,CAEX 719DCI126,0.9303,SULPHUR,14.9796,8.08,23296.4238,0.1386,750,0,31.75
168,CAEX 723DC126,0,EMPTY,20.5696,10.52,23296.4238,0.1386,727,0,20.5
169,CAEX 714DI27,0.9483,SULPHUR,17.2572,8.81,23296.4238,0.1386,770,0,87.5
170,CAEX 720DI137,0.9268,SULPHUR,15.4112,8.44,23296.4258,0.1406,748,0,0
171,CAEX 717AB27,0.8822,SULPHUR,15.6972,8.31,23296.4258,0.1406,750,0,21.25
172,CAEX 715ABC47,0,EMPTY,20.1276,9.73,23296.4258,0.1406,750,0,21.25
173,CAEX 714DC37,0.8415,SULPHUR,17.6004,8.92,23296.4258,0.1406,750,0,10.5
174,CAEX 710C127,0.8952,SULPHUR,14.9896,8.27,23296.4258,0.1406,746,0,0
175,CAEX 719DCI127,0,EMPTY,18.4428,9.19,23296.4258,0.1406,751,0,32
176,CAEX 723DC127,0,EMPTY,19.0668,9.39,23296.4258,0.1406,751,0,21.25
177,CAEX 714DI28,0.8059,SULPHUR,17.7876,8.98,23296.4277,0.1425,752,0,10.5
178,CAEX 720DI138,0.9446,SULPHUR,14.5928,8.11,23296.4277,0.1425,746,0,0
179,CAEX 717AB28,0.9016,SULPHUR,17.5688,9.31,23296.4277,0.1425,749,0,31.75
180,CAEX 715ABC48,0,EMPTY,22.3304,11.23,23296.4277,0.1425,726,0,20.5
181,CAEX 714DC38,0.8029,SULPHUR,14.9796,8.08,23296.4277,0.1425,763,0,86.75
182,CAEX 710C128,0.8551,SULPHUR,16.3836,8.53,23296.4277,0.1425,752,0,0
183,CAEX 719DCI128,0.8538,SULPHUR,16.6644,8.62,23296.4277,0.1425,754,0,10.5
184,CAEX 723DC128,0.9917,SULPHUR,17.694,8.95,23296.4297,0.1445,750,0,0
185,CAEX 714DI29,0.8667,SULPHUR,17.7672,9.39,23296.4297,0.1445,748,0,10.5
186,CAEX 720DI139,0.9837,SULPHUR,15.2128,8.36,23296.4297,0.1445,747,0,10.5
187,CAEX 717AB29,0.8183,SULPHUR,17.6628,8.94,23296.4297,0.1445,751,0,32
188,CAEX 715ABC49,0,EMPTY,20.1276,9.73,23296.4297,0.1445,753,0,10.5
189,CAEX 714DC39,0.8952,SULPHUR,17.9656,9.47,23296.4297,0.1445,749,0,10.5
190,CAEX 710C129,0.9908,SULPHUR,15.3616,8.42,23296.4297,0.1445,748,0,10.5
191,CAEX 719DCI129,0,EMPTY,18.8796,9.33,23296.4316,0.1464,751,0,21.25
192,CAEX 723DC129,0,EMPTY,19.2056,9.97,23296.4316,0.1464,742,0,21
193,CAEX 714DI30,0,EMPTY,19.4724,9.52,23296.4316,0.1464,755,0,53.5
194,CAEX 720DI140,0,EMPTY,19.566,9.55,23296.4316,0.1464,754,0,0
195,CAEX 717AB30,0.8481,SULPHUR,16.1056,8.72,23296.4316,0.1464,743,0,0
196,CAEX 715ABC50,0,EMPTY,19.6596,9.58,23296.4316,0.1464,750,0,31.75
197,CAEX 714DC40,0,EMPTY,18.1932,9.11,23296.4316,0.1464,750,0,21.25
198,CAEX 710C130,0.9556,SULPHUR,15.9568,8.66,23296.4336,0.1484,747,0,10.5
199,CAEX 719DCI130,0,EMPTY,19.1604,9.42,23296.4336,0.1484,752,0,21.25
200,CAEX 723DC130,0.882,SULPHUR,17.0976,9.12,23296.4336,0.1484,749,0,10.5
201,CAEX 714DI31,0.8201,SULPHUR,17.5068,8.89,23296.4336,0.1484,750,0,21.25
202,CAEX 720DI141,0.9553,SULPHUR,15.436,8.45,23296.4336,0.1484,748,0,21.25
203,CAEX 717AB31,0,EMPTY,18.3492,9.16,23296.4336,0.1484,751,0,32
204,CAEX 715ABC51,0,EMPTY,18.8172,9.31,23296.4336,0.1484,752,0,10.5
205,CAEX 714DC41,0.8674,SULPHUR,15.6344,8.53,23296.4355,0.1503,748,0,31.75
206,CAEX 710C131,0.8506,SULPHUR,16.1056,8.72,23296.4355,0.1503,746,0,21
207,CAEX 719DCI131,0,EMPTY,18.5676,9.23,23296.4355,0.1503,753,0,32
208,CAEX 723DC131,0.9686,SULPHUR,15.3228,8.19,23296.4355,0.1503,752,0,10.5
209,CAEX 714DI32,0.89,SULPHUR,16.5768,8.91,23296.4355,0.1503,746,0,10.5
210,CAEX 720DI142,0.9588,SULPHUR,16.7504,8.98,23296.4355,0.1503,749,0,31.75
211,CAEX 717AB32,0.8848,SULPHUR,17.85,9,23296.4355,0.1503,751,0,21.25
212,CAEX 715ABC52,0.9809,SULPHUR,17.7564,8.97,23296.4375,0.1523,752,0,21.25
213,CAEX 714DC42,0,EMPTY,20.1276,9.73,23296.4375,0.1523,752,0,0
214,CAEX 710C132,0.8198,SULPHUR,16.2296,8.77,23296.4375,0.1523,749,0,10.5
215,CAEX 719DCI132,0,EMPTY,19.0568,9.91,23296.4375,0.1523,743,0,21
216,CAEX 723DC132,0.9447,SULPHUR,17.4756,8.88,23296.4375,0.1523,764,0,32.5
217,CAEX 714DI33,0,EMPTY,18.2868,9.14,23296.4375,0.1523,750,0,0
218,CAEX 720DI143,0,EMPTY,19.5972,9.56,23296.4375,0.1523,750,0,21.25
219,CAEX 717AB33,0,EMPTY,19.9404,9.67,23296.4395,0.1543,750,0,21.25
220,CAEX 715ABC53,0.9241,SULPHUR,17.6004,8.92,23296.4395,0.1543,754,0,21.25
221,CAEX 714DC43,0.8926,SULPHUR,15.56,8.5,23296.4395,0.1543,749,0,0
222,CAEX 710C133,0.8827,SULPHUR,16.3836,8.53,23296.4395,0.1543,750,0,21.25
223,CAEX 719DCI133,0,EMPTY,19.1604,9.42,23296.4395,0.1543,753,0,21.25
224,CAEX 723DC133,0,EMPTY,18.3872,9.64,23296.4395,0.1543,747,0,10.5
225,CAEX 714DI34,0.8689,SULPHUR,14.7924,8.02,23296.4395,0.1543,752,0,10.5
226,CAEX 720DI144,0.9665,SULPHUR,15.9072,8.64,23296.4414,0.1562,748,0,10.5
227,CAEX 717AB34,0,EMPTY,18.04,9.5,23296.4414,0.1562,742,0,21
228,CAEX 715ABC54,0,EMPTY,19.0668,9.39,23296.4414,0.1562,769,0,43.5
229,CAEX 714DC44,0.9703,SULPHUR,14.8904,8.23,23296.4414,0.1562,745,0,0
230,CAEX 710C134,0.9783,SULPHUR,16.2276,8.48,23296.4414,0.1562,755,0,42.75
231,CAEX 719DCI134,0,EMPTY,18.3804,9.17,23296.4414,0.1562,750,0,10.5
232,CAEX 723DC134,0,EMPTY,22.8108,10.59,23296.4453,0.1601,838,0,0
233,CAEX 714DI35,0.9518,SULPHUR,13.0764,7.47,23296.4453,0.1601,1086,0,401
234,CAEX 720DI145,0.9965,SULPHUR,14.4492,7.91,23296.4492,0.164,943,0,0
235,CAEX 717AB35,0.984,SULPHUR,11.4228,6.94,23296.4512,0.166,957,0,353.5
236,CAEX 715ABC55,0,EMPTY,21.906,10.3,23296.4512,0.166,790,0,0
237,CAEX 714DC45,0,EMPTY,19.6596,9.58,23296.4512,0.166,756,0,0
238,CAEX 710C135,0,EMPTY,20.024,10.3,23296.4512,0.166,741,0,21
239,CAEX 719DCI135,0,EMPTY,30.33,13,23296.4531,0.1679,880,0,150
240,CAEX 723DC135,0.963,SULPHUR,10.5492,6.66,23296.4531,0.1679,1013,0,374
241,CAEX 714DI36,0,EMPTY,24.4644,11.12,23296.4551,0.1699,821,0,0
242,CAEX 720DI146,0,EMPTY,20.3772,9.81,23296.4551,0.1699,775,0,11
243,CAEX 717AB36,0,EMPTY,20.6892,9.91,23296.4551,0.1699,761,0,43.25
244,CAEX 715ABC56,0,EMPTY,21.8436,10.28,23296.4551,0.1699,758,0,53.75
245,CAEX 714DC46,0.831,SULPHUR,16.914,8.7,23296.4551,0.1699,764,0,32.5
246,CAEX 710C136,0.9616,SULPHUR,17.226,8.8,23296.4551,0.1699,755,0,0
247,CAEX 719DCI136,0,EMPTY,18.2244,9.12,23296.457,0.1718,750,0,10.5
248,CAEX 723DC136,0,EMPTY,20.6268,9.89,23296.457,0.1718,753,0,10.5
249,CAEX 714DI37,0.9478,SULPHUR,16.5768,8.91,23296.457,0.1718,748,0,10.5
250,CAEX 720DI147,0.8218,SULPHUR,16.2276,8.48,23296.457,0.1718,752,0,10.5
251,CAEX 717AB37,0,EMPTY,18.5364,9.22,23296.457,0.1718,752,0,21.25
252,CAEX 715ABC57,0,EMPTY,18.784,9.8,23296.457,0.1718,748,0,10.5
253,CAEX 714DC47,0.9662,SULPHUR,15.1632,8.34,23296.457,0.1718,749,0,21.25
254,CAEX 710C137,0.9397,SULPHUR,15.9568,8.66,23296.459,0.1738,749,0,10.5
255,CAEX 719DCI137,0,EMPTY,20.2224,10.38,23296.459,0.1738,728,0,20.5
256,CAEX 723DC137,0,EMPTY,18.3492,9.16,23296.459,0.1738,768,0,76.25
257,CAEX 714DI38,0.9513,SULPHUR,16.924,9.05,23296.459,0.1738,744,0,0
258,CAEX 720DI148,0.8494,SULPHUR,17.8168,9.41,23296.459,0.1738,748,0,21.25
259,CAEX 717AB38,0,EMPTY,18.5676,9.23,23296.459,0.1738,752,0,32
260,CAEX 715ABC58,0,EMPTY,20.1276,9.73,23296.459,0.1738,754,0,21.25
261,CAEX 714DC48,0.9278,SULPHUR,16.914,8.7,23296.4609,0.1757,750,0,10.5
262,CAEX 710C138,0.8037,SULPHUR,15.4112,8.44,23296.4609,0.1757,748,0,10.5
263,CAEX 719DCI138,0,EMPTY,20.5956,9.88,23296.4609,0.1757,750,0,21.25
264,CAEX 723DC138,0,EMPTY,20.034,9.7,23296.4609,0.1757,754,0,21.25
265,CAEX 714DI39,0.9708,SULPHUR,17.8912,9.44,23296.4609,0.1757,749,0,10.5
266,CAEX 720DI149,0,EMPTY,18.8832,9.84,23296.4609,0.1757,728,0,10.25
267,CAEX 717AB39,0.8821,SULPHUR,16.446,8.55,23296.4609,0.1757,769,0,76.25
268,CAEX 715ABC59,0,EMPTY,19.3476,9.48,23296.4629,0.1777,752,0,0
269,CAEX 714DC49,0,EMPTY,19.8468,9.64,23296.4629,0.1777,750,0,10.5
270,CAEX 710C139,0.9811,SULPHUR,17.3704,9.23,23296.4629,0.1777,748,0,10.5
271,CAEX 719DCI139,0,EMPTY,18.04,9.5,23296.4629,0.1777,748,0,31.75
272,CAEX 723DC139,0.9038,SULPHUR,17.7564,8.97,23296.4629,0.1777,754,0,21.25
273,CAEX 714DI40,0.9745,SULPHUR,17.296,9.2,23296.4629,0.1777,748,0,10.5
274,CAEX 720DI150,0.9112,SULPHUR,15.8576,8.62,23296.4629,0.1777,749,0,21.25
275,CAEX 717AB40,0,EMPTY,20.7432,10.59,23296.4648,0.1796,748,0,21.25
276,CAEX 715ABC60,0,EMPTY,18.1308,9.09,23296.4648,0.1796,754,0,21.25
277,CAEX 714DC50,0,EMPTY,18.04,9.5,23296.4648,0.1796,749,0,10.5
278,CAEX 710C140,0,EMPTY,19.9,10.25,23296.4648,0.1796,741,0,21
279,CAEX 719DCI140,0,EMPTY,19.6908,9.59,23296.4648,0.1796,756,0,64.5
280,CAEX 723DC140,0,EMPTY,18.8796,9.33,23296.4648,0.1796,752,0,0
281,CAEX 714DI41,0.8454,SULPHUR,17.7564,8.97,23296.4648,0.1796,752,0,10.5
282,CAEX 720DI151,0.9673,SULPHUR,16.304,8.8,23296.4668,0.1816,747,0,10.5
